poll_agency,poll_agency_url,poll_dates,clinton_vs,trump_vs,lead
ABC/Wash Post Tracking,http://abcnews.go.com/Politics/contest-narrows-expectations-poll/story?id=43116832,10/23 - 10/26,50,45,Clinton +5
Economist/YouGov,https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/,10/22 - 10/26,49,46,Clinton +3
FOX News,http://www.foxnews.com/politics/2016/10/26/fox-news-poll-clinton-leads-trump-by-three-points.html,10/22 - 10/25,49,44,Clinton +5
IBD/TIPP Tracking,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,10/20 - 10/25,43,41,Clinton +2
Pew Research,http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/,10/20 - 10/25,50,43,Clinton +7
ABC News Tracking,http://abcnews.go.com/Politics/stressed-election-youve-company-poll/story?id=43024209,10/21 - 10/24,51,43,Clinton +8
CNBC,http://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2016/10/27/survey.pdf,10/21 - 10/24,47,37,Clinton +10
LA Times/USC Tracking,http://graphics.latimes.com/usc-presidential-poll-dashboard/,10/19 - 10/25,44,45,Trump +1
USA Today/Suffolk,http://www.usatoday.com/story/news/politics/elections/2016/10/26/poll-clinton-builds-leads-nation-worried-election-day-violence-trump/92712708/,10/20 - 10/24,49,39,Clinton +10
Associated Press-GfK,http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf,10/20 - 10/24,54,41,Clinton +13
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_10.25_.16_.pdf,10/20 - 10/24,43,37,Clinton +6
ABC News Tracking,http://abcnews.go.com/Politics/stressed-election-youve-company-poll/story?id=43024209,10/20 - 10/23,53,41,Clinton +12
Gravis,http://www.realclearpolitics.com/docs/2016/Gravis_Oct_24th_2016.pdf,10/20 - 10/23,50,50,Tie
CNN/ORC,http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf,10/20 - 10/23,51,45,Clinton +6
NBC News/SM,http://www.nbcnews.com/storyline/data-points/poll-republican-party-fractured-hillary-clinton-maintains-solid-lead-n672001,10/17 - 10/23,50,44,Clinton +6
Quinnipiac,https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf,10/17 - 10/18,50,44,Clinton +6
Economist/YouGov,https://today.yougov.com/news/2016/10/19/yougoveconomist-poll-october-15-18-2016/,10/15 - 10/18,47,43,Clinton +4
FOX News,http://www.foxnews.com/politics/2016/10/18/fox-news-poll-clinton-tops-trump-by-6-points.html,10/15 - 10/17,49,42,Clinton +7
Bloomberg,http://www.bloomberg.com/politics/articles/2016-10-19/national-poll,10/14 - 10/17,50,41,Clinton +9
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_10.18_.16_.pdf,10/13 - 10/17,43,39,Clinton +4
Monmouth,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_101716/,10/14 - 10/16,53,41,Clinton +12
CBS News,http://www.cbsnews.com/news/cbs-poll-clintons-lead-over-trump-widens-with-three-weeks-to-go/,10/12 - 10/16,51,40,Clinton +11
NBC News/SM,http://www.nbcnews.com/storyline/data-points/poll-clinton-maintains-solid-national-lead-n667751,10/10 - 10/16,51,43,Clinton +8
ABC News/Wash Post,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/10/16/National-Politics/Polling/release_452.xml,10/10 - 10/13,50,46,Clinton +4
NBC News/Wall St. Jrnl,http://www.nbcnews.com/politics/first-read/clinton-holds-11-point-national-lead-over-trump-nbc-wsj-n666986,10/10 - 10/13,51,41,Clinton +10
LA Times/USC Tracking,http://www.latimes.com/politics/,10/9 - 10/15,44,45,Trump +1
FOX News,http://www.foxnews.com/politics/2016/10/13/fox-news-poll-clinton-leads-trump-by-7-points.html,10/10 - 10/12,49,41,Clinton +8
NBC News/Wall St. Jrnl,https://www.scribd.com/document/327216789/Public-161027-NBCWSJ-October-N900-Poll-10-11-RELEASE,10/8 - 10/10,50,40,Clinton +10
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_10.11_.16_.pdf,10/6 - 10/10,44,37,Clinton +7
NBC News/Wall St. Jrnl,http://www.nbcnews.com/politics/first-read/poll-after-trump-tape-revelation-clinton-s-lead-double-digits-n663691,10/8 - 10/9,52,38,Clinton +14
Economist/YouGov,https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,10/7 - 10/8,48,43,Clinton +5
The Atlantic,http://www.prri.org/wp-content/uploads/2016/10/PRRIThe-Atlantic-Survey-Topline-Oct.-9.pdf,10/5 - 10/9,49,38,Clinton +11
LA Times/USC Tracking,http://www.latimes.com/politics/,10/4 - 10/10,43,45,Trump +2
NBC News/SM,https://www.scribd.com/document/327007811/NBC-News-SurveyMonkey-Toplines-and-Methodology-10-3-10-9,10/3 - 10/9,51,44,Clinton +7
Quinnipiac,https://www.qu.edu/images/polling/us/us10072016_Udmr62f.pdf,10/5 - 10/6,50,44,Clinton +6
FOX News,http://www.foxnews.com/politics/2016/10/07/fox-news-poll-clinton-edges-trump-by-two-points-one-month-ahead-election.html,10/3 - 10/6,48,44,Clinton +4
Economist/YouGov,https://today.yougov.com/news/2016/10/03/yougoveconomist-poll-october-1-3-2016/,10/1 - 10/3,48,43,Clinton +5
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_10.04_.16_.pdf,9/29 - 10/3,44,37,Clinton +7
The Atlantic/PRRI,http://www.prri.org/wp-content/uploads/2016/10/PRRI-Atlantic-Survey-Topline.pdf,9/28 - 10/2,47,41,Clinton +6
CBS News,http://www.cbsnews.com/news/hillary-clinton-edges-ahead-of-donald-trump-after-first-presidential-debate-hofstra-2016-cbs-nyt-poll/,9/28 - 10/2,49,43,Clinton +6
CNN/ORC,http://www.cnn.com/2016/10/03/politics/hillary-clinton-donald-trump-presidential-polls/index.html,9/28 - 10/2,51,45,Clinton +6
LA Times/USC Tracking,http://www.latimes.com/politics/,9/27 - 10/3,43,47,Trump +4
FOX News,http://www.foxnews.com/politics/interactive/2016/09/30/full-fox-news-poll-results-30/,9/27 - 9/29,49,44,Clinton +5
NBC News/SM,http://www.nbcnews.com/storyline/data-points/poll-hillary-clinton-holds-national-lead-over-donald-trump-n658721,9/26 - 10/2,50,44,Clinton +6
PPP (D),http://www.realclearpolitics.com/docs/2016/PPP_National.pdf,9/27 - 9/28,49,45,Clinton +4
Gravis,http://www.oann.com/pollnational/,9/27 - 9/27,50,50,Tie
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_9.27_.16__.pdf,9/22 - 9/26,44,38,Clinton +6
Quinnipiac,http://www.realclearpolitics.com/docs/2016/SEPT_26_NAT_PRES_+_BP.pdf,9/22 - 9/25,47,46,Clinton +1
Bloomberg,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rf1VkxwwhH2c/v0,9/21 - 9/24,46,46,Tie
Monmouth,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_092616/,9/22 - 9/25,49,46,Clinton +3
Economist/YouGov,https://today.yougov.com/news/2016/09/25/yougoveconomist-poll-september-22-24-2016/,9/22 - 9/24,48,44,Clinton +4
LA Times/USC Tracking,http://www.latimes.com/politics/,9/20 - 9/26,43,46,Trump +3
NBC News/SM,http://www.nbcnews.com/,9/19 - 9/25,51,44,Clinton +7
ABC News/Wash Post,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/09/25/National-Politics/Polling/release_446.xml?tid=a_inl,9/19 - 9/22,49,47,Clinton +2
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zcgy71ddez/econToplines.pdf,9/18 - 9/19,45,44,Clinton +1
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_9.20_.16_.pdf,9/15 - 9/19,39,39,Tie
McClatchy/Marist,http://www.mcclatchydc.com/news/politics-government/election/article103597247.html,9/15 - 9/20,48,41,Clinton +7
NBC News/Wall St. Jrnl,http://www.nbcnews.com/politics/2016-election/poll-clinton-leads-trump-ahead-first-debate-n652141,9/16 - 9/19,48,41,Clinton +7
Associated Press-GfK,http://ap-gfkpoll.com/main/wp-content/uploads/2016/09/September-2016-AP-GfK-Poll-Topline-Clinton.pdf,9/15 - 9/16,50,44,Clinton +6
LA Times/USC Tracking,http://www.latimes.com/politics/,9/13 - 9/19,42,47,Trump +5
NBC News/SM,http://www.nbcnews.com/storyline/data-points/hillary-clinton-regains-momentum-against-donald-trump-poll-n650926,9/12 - 9/18,50,45,Clinton +5
FOX News,http://www.foxnews.com/politics/2016/09/15/fox-news-poll-clinton-and-trump-in-one-point-race-among-likely-voters.html,9/11 - 9/14,45,46,Trump +1
CBS News/NY Times,https://www.scribd.com/document/324094160/CBS-NYT-AM-presidential-poll-toplines-Sept-15-2016#from_embed,9/9 - 9/13,46,44,Clinton +2
Economist/YouGov,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,9/10 - 9/13,46,44,Clinton +2
Quinnipiac,https://www.qu.edu/images/polling/us/us09142016_U27xtpb.pdf,9/8 - 9/13,48,43,Clinton +5
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_9.13_.16_.pdf,9/8 - 9/12,40,39,Clinton +1
LA Times/USC Tracking,http://www.latimes.com/politics/,9/5 - 9/11,44,44,Tie
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-clinton-s-lead-narrows-among-independents-voters-nationally-n646911,9/5 - 9/11,48,44,Clinton +4
ABC News/Wash Post,http://www.langerresearch.com/wp-content/uploads/1181a12016Election.pdf,9/5 - 9/8,51,43,Clinton +8
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t17b77oz5n/weekly_presidential_election_tracking_report.pdf,9/4 - 9/6,44,42,Clinton +2
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_9.07_.16_.pdf,9/1 - 9/5,40,38,Clinton +2
CNN/ORC,http://i2.cdn.turner.com/cnn/2016/images/09/05/rel13a.-.2016.post-labor.day.pdf,9/1 - 9/4,48,49,Trump +1
NBC News/SM,http://www.nbcnews.com/politics/2016-election/clinton-holds-steady-against-trump-campaign-enters-final-weeks-poll-n642931,8/29 - 9/4,48,42,Clinton +6
IBD/TIPP,http://www.investors.com/politics/clinton-and-trump-are-tied-in-latest-ibdtipp-poll/,8/26 - 9/1,44,43,Clinton +1
FOX News,http://www.foxnews.com/politics/2016/08/31/fox-news-poll-trump-narrows-clintons-lead.html,8/28 - 8/30,48,42,Clinton +6
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_83016.pdf,8/26 - 8/28,48,43,Clinton +5
Economist/YouGov,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,8/27 - 8/29,47,42,Clinton +5
Reuters/Ipsos,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,8/25 - 8/29,40,39,Clinton +1
Monmouth,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_082916/,8/25 - 8/28,49,42,Clinton +7
USA Today/Suffolk,http://www.usatoday.com/story/news/politics/elections/2016/09/01/suffolk-poll-hillary-clinton-donald-trump-fear/89577824/,8/24 - 8/29,48,41,Clinton +7
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-donald-trump-chips-away-hillary-clinton-s-national-lead-n639591,8/22 - 8/28,48,42,Clinton +6
LA Times/USC,http://www.latimes.com/politics/,8/22 - 8/28,44,44,Tie
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_8.24_.16_.pdf,8/20 - 8/24,42,35,Clinton +7
Economist/YouGov,https://today.yougov.com/news/2016/08/24/yougoveconomist-poll-august-19-23-2016/,8/19 - 8/23,47,44,Clinton +3
Quinnipiac,https://www.qu.edu/images/polling/us/us08252016_U88mxwn.pdf,8/18 - 8/24,51,41,Clinton +10
NBC News/SM,http://www.nbcnews.com/politics/2016-election/trump-faces-hurdle-minority-voters-clinton-maintains-lead-poll-shows-n636061,8/15 - 8/21,50,42,Clinton +8
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016_Reuters_Tracking_-_Core_Political_8.17_.16_.pdf,8/13 - 8/17,41,36,Clinton +5
Economist/YouGov,https://today.yougov.com/news/2016/08/16/yougoveconomist-poll-august-14-16-2016/,8/14 - 8/16,47,41,Clinton +6
Gravis,http://www.realclearpolitics.com/docs/2016/Gravis_National_August_2016.pdf,8/15 - 8/15,54,46,Clinton +8
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-clinton-maintains-big-lead-voters-doubt-trump-s-temperament-n631351,8/8 - 8/14,50,41,Clinton +9
LA Times/USC,http://cesrusc.org/election/,8/6 - 8/12,46,42,Clinton +4
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_Core_Political_8.10_.16_.pdf,8/6 - 8/10,42,36,Clinton +6
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/s7eok0qys8/weekly_presidential_tracking_report.pdf,8/6 - 8/9,48,41,Clinton +7
Bloomberg,http://www.bloomberg.com/politics/articles/2016-08-10/bloomberg-politics-national-poll,8/5 - 8/8,50,44,Clinton +6
ABC News/Wash Post,https://www.washingtonpost.com/politics/poll-after-conventions-clinton-leads-trump-by-8-points/2016/08/06/517999c0-5b33-11e6-9aee-8075993d73a2_story.html,8/1 - 8/4,50,42,Clinton +8
LA Times/USC,http://www.latimes.com/politics/,7/30 - 8/5,45,44,Clinton +1
IBD/TIPP,http://www.investors.com/politics/trump-loses-ground-across-the-board-against-clinton-poll-finds/,7/29 - 8/4,46,39,Clinton +7
McClatchy/Marist,https://www.scribd.com/document/320225575/McClatchy-Marist-Poll-National-Nature-of-the-Sample-and-Tables-August-2016,8/1 - 8/3,48,33,Clinton +15
NBC News/Wall St. Jrnl,http://www.nbcnews.com/politics/first-read/nbc-wsj-poll-clinton-jumps-nine-point-lead-over-trump-n623131,7/31 - 8/3,47,38,Clinton +9
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-clinton-opens-double-digit-lead-over-trump-n625676,8/1 - 8/7,51,41,Clinton +10
FOX News,http://www.foxnews.com/politics/interactive/2016/08/03/fox-news-poll-aug-3-2016/,7/31 - 8/2,49,39,Clinton +10
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kzew9twjin/weekly_presidential_election_tracking_report.pdf,7/30 - 8/1,46,43,Clinton +3
CBS News,http://www.cbsnews.com/news/campaign-2016-did-hillary-clinton-get-a-post-convention-bump/,7/29 - 7/31,47,41,Clinton +6
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_8.3_.16_FINAL_.pdf,7/30 - 8/3,43,39,Clinton +4
CNN/ORC,http://www.cnn.com/2016/08/01/politics/trump-vs-clinton-presidential-polls-election-2016/index.html,7/29 - 7/31,52,43,Clinton +9
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-clinton-support-spikes-following-democratic-convention-n621071,7/25 - 7/31,50,42,Clinton +8
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf,7/29 - 7/30,50,45,Clinton +5
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_7.29_.16_FINAL_.pdf,7/25 - 7/29,40,35,Clinton +5
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,7/26 - 7/27,43,42,Clinton +1
Economist/YouGov,https://today.yougov.com/news/2016/07/25/yougoveconomist-poll-july-23-24-2016/,7/23 - 7/24,47,42,Clinton +5
CNN/ORC,http://www.cnn.com/2016/07/25/politics/donald-trump-hillary-clinton-poll/index.html,7/22 - 7/24,45,48,Trump +3
LA Times/USC,https://uasdata.usc.edu/data/election-poll,7/20 - 7/26,40,47,Trump +7
CBS News,http://www.cbsnews.com/news/poll-hillary-clinton-and-donald-trump-tied-going-into-democratic-convention/,7/22 - 7/24,43,44,Trump +1
NBC News/SM,http://www.nbcnews.com/politics/2016-election/poll-no-post-convention-bounce-donald-trump-n616426,7/18 - 7/24,46,45,Clinton +1
Gravis,http://www.realclearpolitics.com/docs/2016/Gravis_National_July_2016.pdf,7/21 - 7/22,49,51,Trump +2
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,7/18 - 7/19,42,43,Trump +1
Reuters/Ipsos,http://www.ipsos-na.com/download/pr.aspx?id=15780,7/16 - 7/20,40,36,Clinton +4
Economist/YouGov,https://today.yougov.com/news/2016/07/18/yougoveconomist-poll-july-15-17-2016/,7/15 - 7/17,45,41,Clinton +4
NBC News/SM,https://www.scribd.com/document/318637789/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-11-7-17?secret_password=AnNcMJ7IIHCH6A0c2XQm,7/11 - 7/17,46,45,Clinton +1
CNN/ORC,http://i2.cdn.turner.com/cnn/2016/images/07/17/rel8a.-.2016.pdf,7/13 - 7/16,49,42,Clinton +7
ABC News/Wash Post,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-national-poll-july-11-14/2061/,7/11 - 7/14,47,43,Clinton +4
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,7/12 - 7/13,37,44,Trump +7
NBC News/Wall St. Jrnl,http://www.nbcnews.com/storyline/2016-conventions/poll-clinton-keeps-5-point-lead-over-trump-heading-conventions-n610966,7/9 - 7/13,46,41,Clinton +5
CBS News/NY Times,http://www.cbsnews.com/news/hillary-clinton-donald-trump-tied-going-into-conventions-cbsnyt-poll/,7/8 - 7/12,40,40,Tie
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ipip6gj791/econToplines.pdf,7/9 - 7/11,45,43,Clinton +2
McClatchy/Marist,http://www.thestate.com/news/politics-government/article89192652.html,7/5 - 7/9,42,39,Clinton +3
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,7/5 - 7/5,40,42,Trump +2
Reuters/Ipsos,http://www.ipsos-na.com/download/pr.aspx?id=15725,7/2 - 7/6,44,33,Clinton +11
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/40khyk3nw4/econToplines.pdf,7/2 - 7/4,47,42,Clinton +5
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,6/28 - 6/29,39,43,Trump +4
USA Today/Suffolk,http://www.usatoday.com/story/news/politics/elections/2016/07/04/usa-today-suffolk-poll-voters-alarmed-trump-clinton/86632526/,6/26 - 6/29,46,40,Clinton +6
PPP (D),http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_63016.pdf,6/27 - 6/28,48,44,Clinton +4
Gravis*,http://www.realclearpolitics.com/docs/2016/Gravis_National_June_27_to_28_2016.pdf,6/27 - 6/28,50,48,Clinton +2
FOX News,http://www.foxnews.com/politics/interactive/2016/06/29/fox-news-poll-june-2-2016/,6/26 - 6/28,44,38,Clinton +6
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/Reuters_June_25_to_29_2016.pdf,6/25 - 6/29,42,32,Clinton +10
IBD/TIPP,http://www.investors.com/politics/trump-holds-ground-against-clinton-ties-her-in-a-four-way-matchup/,6/24 - 6/29,44,40,Clinton +4
Economist/YouGov,http://www.realclearpolitics.com/docs/2016/YouGov_June_24_to_27_2016.pdf,6/24 - 6/27,42,38,Clinton +4
Quinnipiac,https://www.qu.edu/images/polling/us/us06292016_Utwkv93x.pdf,6/21 - 6/27,42,40,Clinton +2
Pew Research,http://www.people-press.org/files/2016/07/07-07-16-Voter-attitudes-topline-for-release.pdf,6/15 - 6/26,51,42,Clinton +9
ABC News/Wash Post,http://www.langerresearch.com/wp-content/uploads/1178a12016Election.pdf,6/20 - 6/23,51,39,Clinton +12
NBC News/Wall St. Jrnl,http://www.nbcnews.com/meet-the-press/nbc-wsj-poll-clinton-leads-trump-5-points-n598716?cid=sm_tw&hootPostID=f1bc2ae86e0f1f07a0afb55a7cdbdf67,6/19 - 6/23,46,41,Clinton +5
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,6/20 - 6/21,44,39,Clinton +5
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/Reuters_Ipsos_June_18_to_22_2016.pdf,6/18 - 6/22,44,34,Clinton +10
Economist/YouGov,http://www.realclearpolitics.com/docs/2016/Economist_YouGov_General_Election_June_18_20.pdf,6/18 - 6/20,43,39,Clinton +4
CNN/ORC,http://i2.cdn.turner.com/cnn/2016/images/06/21/rel7b.-.2016.general.pdf,6/16 - 6/19,47,42,Clinton +5
Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/568faad2-81ab-4bd0-b373-8577326e76bd.pdf,6/15 - 6/19,49,41,Clinton +8
Gravis*,http://gravismarketing.com/polling-and-market-research/current-national-polling/,6/16 - 6/16,51,47,Clinton +4
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,6/14 - 6/15,44,39,Clinton +5
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/Reuters_Ipsos_June_11th_to_15th_2016.pdf,6/11 - 6/15,41,32,Clinton +9
CNBC,http://www.realclearpolitics.com/docs/2016/316272372-CNBC-All-America-Economic-Survey-June-20-2016.pdf,6/11 - 6/13,40,35,Clinton +5
Bloomberg*,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rc0NltTBR0ug/v0,6/10 - 6/13,49,37,Clinton +12
CBS News,http://www.cbsnews.com/news/clinton-maintains-lead-after-claiming-nomination-cbs-news-poll/,6/9 - 6/13,43,37,Clinton +6
FOX News,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html?intcmp=hpbt1,6/5 - 6/8,42,39,Clinton +3
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,6/6 - 6/7,42,38,Clinton +4
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/Reuters_Ipsos_June_4th_to_June_8th.pdf,6/4 - 6/8,42,34,Clinton +8
Economist/YouGov,http://www.realclearpolitics.com/docs/2016/Economist_YouGov_June_2nd_to_5th.pdf,6/2 - 6/5,44,41,Clinton +3
IBD/TIPP,http://www.investors.com/politics/clintons-lead-over-trump-narrows-as-disappointment-with-choices-grows/,5/31 - 6/5,45,40,Clinton +5
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,5/31 - 6/1,39,38,Clinton +1
Quinnipiac,https://www.qu.edu/images/polling/us/us06012016_Ugb28vf.pdf,5/24 - 5/30,45,41,Clinton +4
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,5/23 - 5/24,40,39,Clinton +1
ABC News/Wash Post,http://www.langerresearch.com/wp-content/uploads/1177a1ClintonTrump.pdf,5/16 - 5/19,44,46,Trump +2
LA Times/USC,http://www.latimes.com/politics/,8/14 - 8/20,43,45,Trump +2
NBC News/Wall St. Jrnl,http://www.nbcnews.com/meet-the-press/clinton-s-lead-over-trump-shrinks-3-points-new-nbc-n577726,5/15 - 5/19,46,43,Clinton +3
Rasmussen Reports,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,5/17 - 5/18,37,42,Trump +5
FOX News,http://www.foxnews.com/politics/2016/05/18/fox-news-poll-clintons-negatives-surpass-trumps.html,5/14 - 5/17,42,45,Trump +3
CBS News/NY Times,http://www.cbsnews.com/news/cbsnyt-national-poll-hillary-clintons-lead-over-donald-trump-narrows/,5/13 - 5/17,47,41,Clinton +6
Gravis*,http://www.realclearpolitics.com/docs/2016/Gravis_National_Trump_Clinton_May_2016.pdf,5/10 - 5/10,50,48,Clinton +2
